Town,County
Barrington,Bristol
Block Island,Washington
Bristol,Bristol
Burrillville,Providence
Central Falls,Providence
Charlestown,Washington
Coventry,Kent
Cranston,Providence
Cumberland,Providence
E. Greenwich,Kent
E. Providence,Providence
Exeter,Washington
Foster,Providence
Glocester,Providence
Hopkinton,Washington
Jamestown,Newport
Johnston,Providence
Lincoln,Providence
Little Compton,Newport
Middletown,Newport
Narragansett,Washington
Newport,Newport
New Shoreham,Washington
N. Kingstown,Washington
N. Providence,Providence
N. Smithfield,Providence
Pawtucket,Providence
Portsmouth,Newport
Providence,Providence
Richmond,Washington
Scituate,Providence
Smithfield,Providence
S. Kingstown,Washington
Tiverton,Newport
Warren,Bristol
Warwick,Kent
Westerly,Washington
W. Greenwich,Kent
W. Warwick,Kent
Woonsocket,Providence
