Town,County,,,,,,,,,,,
Addison,Addison,,,,,,,,,,,
Albany,Orleans,,,,,,,,,,,
Alburgh,Grand Isle,,,,,,,,,,,
Andover,Windsor,,,,,,,,,,,
Arlington,Bennington,,,,,,,,,,,
Athens,Windham,,,,,,,,,,,
Averill,Essex,,,,,,,,,,,
Bakersfield,Franklin,,,,,,,,,,,
Baltimore,Windsor,,,,,,,,,,,
Barnard,Windsor,,,,,,,,,,,
Barnet,Caledonia,,,,,,,,,,,
Barre,Washington,,,,,,,,,,,
Barton,Orleans,,,,,,,,,,,WASHINGTON
Belvidere,Lamoille,,,,,,,,,,,
Bennington,Bennington,,,,,,,,,,,
Benson,Rutland,,,,,,,,,,,
Berkshire,Franklin,,,,,,,,,,,
Berlin,Washington,,,,,,,,,,,
Bethel,Windsor,,,,,,,,,,,
Bloomfield,Essex,,,,,,,,,,,
Bolton,Chittenden,,,,,,,,,,,
Bradford,Orange,,,,,,,,,,,
Braintree,Orange,,,,,,,,,,,
Brandon,Rutland,,,,,,,,,,,
Brattleboro,Windham,,,,,,,,,,,
Bridgewater,Windsor,,,,,,,,,,,
Bridport,Addison,,,,,,,,,,,
Brighton,Essex,,,,,,,,,,,
Bristol,Addison,,,,,,,,,,,
Brookfield,Orange,,,,,,,,,,,
Brookline,Windham,,,,,,,,,,,
Brownington,Orleans,,,,,,,,,,,
Brunswick,Essex,,,,,,,,,,,
Burke,Caledonia,,,,,,,,,,,
Cabot,Washington,,,,,,,,,,,
Calais,Washington,,,,,,,,,,,
Cambridge,Lamoille,,,,,,,,,,,
Canaan,Essex,,,,,,,,,,,
Castleton,Rutland,,,,,,,,,,,
Cavendish,Windsor,,,,,,,,,,,
Charleston,Orleans,,,,,,,,,,,
Charlotte,Chittenden,,,,,,,,,,,
Chelsea,Orange,,,,,,,,,,,
Chester,Windsor,,,,,,,,,,,
Chittenden,Rutland,,,,,,,,,,,
Clarendon,Rutland,,,,,,,,,,,
Colchester,Chittenden,,,,,,,,,,,
Concord,Essex,,,,,,,,,,,
Corinth,Orange,,,,,,,,,,,
Cornwall,Addison,,,,,,,,,,,
Coventry,Orleans,,,,,,,,,,,
Craftsbury,Orleans,,,,,,,,,,,
Danby,Rutland,,,,,,,,,,,
Danville,Caledonia,,,,,,,,,,,
Derby,Orleans,,,,,,,,,,,
Dorset,Bennington,,,,,,,,,,,
Dover,Windham,,,,,,,,,,,
Dummerston,Windham,,,,,,,,,,,
Duxbury,Washington,,,,,,,,,,,
East Haven,Essex,,,,,,,,,,,
East Montpelier,Washington,,,,,,,,,,,
Eden,Lamoille,,,,,,,,,,,
Elmore,Lamoille,,,,,,,,,,,
Enosburgh,Franklin,,,,,,,,,,,
Essex,Chittenden,,,,,,,,,,,
Fair Haven,Rutland,,,,,,,,,,,
Fairfax,Franklin,,,,,,,,,,,
Fairfield,Franklin,,,,,,,,,,,
Fairlee,Orange,,,,,,,,,,,
Fayston,Washington,,,,,,,,,,,
Ferdinand,Essex,,,,,,,,,,,
Ferrisburgh,Addison,,,,,,,,,,,
Fletcher,Franklin,,,,,,,,,,,
Franklin,Franklin,,,,,,,,,,,
Georgia,Franklin,,,,,,,,,,,
Glastenbury,Bennington,,,,,,,,,,,
Glover,Orleans,,,,,,,,,,,
Goshen,Addison,,,,,,,,,,,
Grafton,Windham,,,,,,,,,,,
Granby,Essex,,,,,,,,,,,
Grand Isle,Grand Isle,,,,,,,,,,,
Granville,Addison,,,,,,,,,,,
Greensboro,Orleans,,,,,,,,,,,
