RowCount,StateCode,StateName,CountyFips,CountyName,Party,Candidate,CountySize,VoteCount2016,VoteCount2012,AbsVoteDifference,PercentChangeInVoterTurnout,VotePercent2016,VotePercent2012,ChangeInPercentOfTotal
1,AK,alaska,02000,Alaska; AK,GOP,Trump; GOP,>40K,130415,121234,9181,107.57,52.89,54.96,96.23
1,AL,alabama,01087,Macon; AL,GOP,Trump; GOP,5K-10K,1394,1322,72,105.45,15.94,12.73,125.18
1,AL,alabama,01131,Wilcox; AL,GOP,Trump; GOP,5K-10K,1737,1676,61,103.64,28.50,25.60,111.33
1,AL,alabama,01037,Coosa; AL,GOP,Trump; GOP,5K-10K,3376,3028,348,111.49,64.64,57.75,111.92
1,AL,alabama,01009,Blount; AL,GOP,Trump; GOP,20K-40K,22808,20741,2067,109.97,89.85,86.49,103.88
1,AL,alabama,01133,Winston; AL,GOP,Trump; GOP,10K-20K,9225,8310,915,111.01,89.96,85.56,105.13
1,AL,alabama,01123,Tallapoosa; AL,GOP,Trump; GOP,10K-20K,12967,12303,664,105.40,70.08,65.90,106.33
1,AL,alabama,01053,Escambia; AL,GOP,Trump; GOP,10K-20K,10282,9263,1019,111.00,67.59,62.45,108.22
1,AL,alabama,01057,Fayette; AL,GOP,Trump; GOP,5K-10K,6705,6034,671,111.12,81.81,76.26,107.27
1,AL,alabama,01049,DeKalb; AL,GOP,Trump; GOP,20K-40K,21779,18316,3463,118.91,83.49,76.82,108.68
1,AL,alabama,01129,Washington; AL,GOP,Trump; GOP,5K-10K,6031,5749,282,104.91,71.02,65.62,108.23
1,AL,alabama,01095,Marshall; AL,GOP,Trump; GOP,20K-40K,29217,25785,3432,113.31,83.56,79.45,105.18
1,AL,alabama,01021,Chilton; AL,GOP,Trump; GOP,10K-20K,15068,13910,1158,108.32,82.54,79.79,103.45
1,AL,alabama,01091,Marengo; AL,GOP,Trump; GOP,10K-20K,5224,5321,97,98.18,47.72,46.23,103.21
1,AL,alabama,01007,Bibb; AL,GOP,Trump; GOP,5K-10K,6733,6131,602,109.82,76.97,73.07,105.34
1,AL,alabama,01075,Lamar; AL,GOP,Trump; GOP,5K-10K,5819,5453,366,106.71,83.96,76.17,110.22
1,AL,alabama,01107,Pickens; AL,GOP,Trump; GOP,5K-10K,5454,5119,335,106.54,57.45,53.33,107.72
1,AL,alabama,01079,Lawrence; AL,GOP,Trump; GOP,10K-20K,10732,8855,1877,121.20,73.39,62.90,116.69
1,AL,alabama,01115,St. Clair; AL,GOP,Trump; GOP,20K-40K,31579,29001,2578,108.89,83.24,82.61,100.76
1,AL,alabama,01109,Pike; AL,GOP,Trump; GOP,10K-20K,7681,7939,258,96.75,58.97,56.48,104.42
1,AL,alabama,01069,Houston; AL,GOP,Trump; GOP,>40K,30567,29214,1353,104.63,72.73,69.82,104.17
1,AL,alabama,01045,Dale; AL,GOP,Trump; GOP,10K-20K,13798,13105,693,105.29,74.12,70.64,104.91
1,AL,alabama,01059,Franklin; AL,GOP,Trump; GOP,10K-20K,9466,7567,1899,125.10,79.18,69.68,113.63
1,AL,alabama,01023,Choctaw; AL,GOP,Trump; GOP,5K-10K,4102,4150,48,98.84,56.44,52.10,108.32
1,AL,alabama,01017,Chambers; AL,GOP,Trump; GOP,10K-20K,7803,7596,207,102.73,56.63,52.16,108.57
1,AL,alabama,01089,Madison; AL,GOP,Trump; GOP,>40K,89199,90679,1480,98.37,55.93,58.64,95.38
1,AL,alabama,01127,Walker; AL,GOP,Trump; GOP,20K-40K,24208,21633,2575,111.90,82.78,75.91,109.05
1,AL,alabama,01013,Butler; AL,GOP,Trump; GOP,5K-10K,4891,5081,190,96.26,56.32,53.58,105.11
1,AL,alabama,01043,Cullman; AL,GOP,Trump; GOP,20K-40K,32734,27930,4804,117.20,87.81,84.18,104.31
1,AL,alabama,01039,Covington; AL,GOP,Trump; GOP,10K-20K,13222,12148,1074,108.84,83.59,78.81,106.07
1,AL,alabama,01035,Conecuh; AL,GOP,Trump; GOP,5K-10K,3413,3434,21,99.39,52.16,48.97,106.53
1,AL,alabama,01041,Crenshaw; AL,GOP,Trump; GOP,5K-10K,4511,4326,185,104.28,72.15,67.48,106.93
1,AL,alabama,01063,Greene; AL,GOP,Trump; GOP,2K-5K,838,799,39,104.88,17.24,15.00,114.93
1,AL,alabama,01077,Lauderdale; AL,GOP,Trump; GOP,20K-40K,27735,23902,3833,116.04,71.46,64.76,110.34
1,AL,alabama,01031,Coffee; AL,GOP,Trump; GOP,20K-40K,15825,14638,1187,108.11,77.15,74.25,103.90
1,AL,alabama,01033,Colbert; AL,GOP,Trump; GOP,20K-40K,16718,13931,2787,120.01,67.89,59.60,113.90
1,AL,alabama,01025,Clarke; AL,GOP,Trump; GOP,10K-20K,7109,7463,354,95.26,54.96,53.97,101.82
1,AL,alabama,01093,Marion; AL,GOP,Trump; GOP,10K-20K,11273,9696,1577,116.26,87.31,80.11,108.99
1,AL,alabama,01011,Bullock; AL,GOP,Trump; GOP,2K-5K,1139,1250,111,91.12,24.23,23.51,103.08
1,AL,alabama,01071,Jackson; AL,GOP,Trump; GOP,20K-40K,16643,14422,2221,115.40,80.07,70.16,114.12
1,AL,alabama,01081,Lee; AL,GOP,Trump; GOP,>40K,34321,32062,2259,107.05,59.51,59.25,100.45
1,AL,alabama,01003,Baldwin; AL,GOP,Trump; GOP,>40K,72780,65772,7008,110.65,77.35,77.39,99.95
1,AL,alabama,01121,Talladega; AL,GOP,Trump; GOP,20K-40K,20596,19217,1379,107.18,62.00,57.68,107.50
1,AL,alabama,01103,Morgan; AL,GOP,Trump; GOP,>40K,37392,35309,2083,105.90,74.80,71.77,104.22
1,AL,alabama,01061,Geneva; AL,GOP,Trump; GOP,10K-20K,9967,9173,794,108.66,85.49,81.05,105.48
1,AL,alabama,01051,Elmore; AL,GOP,Trump; GOP,20K-40K,27619,26223,1396,105.32,74.84,73.99,101.14
1,AL,alabama,01105,Perry; AL,GOP,Trump; GOP,5K-10K,1403,1504,101,93.28,26.70,24.80,107.66
1,AL,alabama,01047,Dallas; AL,GOP,Trump; GOP,10K-20K,5784,6284,500,92.04,30.88,30.02,102.88
1,AL,alabama,01119,Sumter; AL,GOP,Trump; GOP,5K-10K,1581,1585,4,99.75,24.74,22.56,109.64
1,AL,alabama,01015,Calhoun; AL,GOP,Trump; GOP,>40K,32803,30272,2531,108.36,69.24,65.47,105.76
1,AL,alabama,01111,Randolph; AL,GOP,Trump; GOP,10K-20K,7697,7219,478,106.62,75.98,69.47,109.37
1,AL,alabama,01027,Clay; AL,GOP,Trump; GOP,5K-10K,5230,4802,428,108.91,79.58,72.32,110.04
1,AL,alabama,01073,Jefferson; AL,GOP,Trump; GOP,>40K,130614,141413,10799,92.36,45.02,46.61,96.60
1,AL,alabama,01117,Shelby; AL,GOP,Trump; GOP,>40K,72846,71243,1603,102.25,73.43,77.27,95.03
1,AL,alabama,01019,Cherokee; AL,GOP,Trump; GOP,10K-20K,8809,7494,1315,117.55,83.87,76.77,109.24
1,AL,alabama,01083,Limestone; AL,GOP,Trump; GOP,20K-40K,28824,25263,3561,114.10,73.16,71.35,102.53
1,AL,alabama,01099,Monroe; AL,GOP,Trump; GOP,10K-20K,5771,5730,41,100.72,56.66,53.65,105.61
1,AL,alabama,01125,Tuscaloosa; AL,GOP,Trump; GOP,>40K,47701,45703,1998,104.37,58.38,58.22,100.27
1,AL,alabama,01113,Russell; AL,GOP,Trump; GOP,10K-20K,9210,8276,934,111.29,48.13,43.86,109.74
1,AL,alabama,01055,Etowah; AL,GOP,Trump; GOP,>40K,32132,29102,3030,110.41,73.91,68.49,107.91
1,AL,alabama,01085,Lowndes; AL,GOP,Trump; GOP,5K-10K,1751,1754,3,99.83,26.23,23.33,112.43
1,AL,alabama,01097,Mobile; AL,GOP,Trump; GOP,>40K,91087,94566,3479,96.32,55.75,54.29,102.69
1,AL,alabama,01101,Montgomery; AL,GOP,Trump; GOP,>40K,33928,38283,4355,88.62,35.88,37.61,95.38
1,AL,alabama,01001,Autauga; AL,GOP,Trump; GOP,20K-40K,18110,17366,744,104.28,73.44,72.63,101.10
1,AL,alabama,01029,Cleburne; AL,GOP,Trump; GOP,5K-10K,5738,5269,469,108.90,87.84,83.61,105.07
1,AL,alabama,01065,Hale; AL,GOP,Trump; GOP,5K-10K,3172,3205,33,98.97,39.60,37.15,106.61
1,AL,alabama,01067,Henry; AL,GOP,Trump; GOP,5K-10K,5623,5605,18,100.32,70.14,64.43,108.87
1,AL,alabama,01005,Barbour; AL,GOP,Trump; GOP,10K-20K,5431,5539,108,98.05,52.27,48.34,108.14
1,AR,arkansas,05135,Sharp; AR,GOP,Trump; GOP,5K-10K,5405,4920,485,109.86,74.59,67.56,110.40
1,AR,arkansas,05041,Desha; AR,GOP,Trump; GOP,2K-5K,1915,1807,108,105.98,45.04,42.62,105.68
1,AR,arkansas,05115,Pope; AR,GOP,Trump; GOP,20K-40K,15694,14733,961,106.52,72.09,72.26,99.77
1,AR,arkansas,05011,Bradley; AR,GOP,Trump; GOP,2K-5K,2163,2118,45,102.12,59.23,58.28,101.62
1,AR,arkansas,05059,Hot Spring; AR,GOP,Trump; GOP,10K-20K,8153,7087,1066,115.04,68.46,63.06,108.57
1,AR,arkansas,05029,Conway; AR,GOP,Trump; GOP,5K-10K,4844,4511,333,107.38,61.15,58.40,104.71
1,AR,arkansas,05051,Garland; AR,GOP,Trump; GOP,>40K,26053,25031,1022,104.08,63.96,63.79,100.27
1,AR,arkansas,05141,Van Buren; AR,GOP,Trump; GOP,5K-10K,5382,4362,1020,123.38,75.63,67.93,111.33
1,AR,arkansas,05035,Crittenden; AR,GOP,Trump; GOP,10K-20K,6953,6192,761,112.29,43.75,39.91,109.60
1,AR,arkansas,05007,Benton; AR,GOP,Trump; GOP,>40K,60751,53477,7274,113.60,62.92,68.98,91.21
1,AR,arkansas,05143,Washington; AR,GOP,Trump; GOP,>40K,40418,39570,848,102.14,50.81,56.34,90.19
1,AR,arkansas,05033,Crawford; AR,GOP,Trump; GOP,20K-40K,16655,15125,1530,110.12,74.34,73.56,101.07
1,AR,arkansas,05003,Ashley; AR,GOP,Trump; GOP,5K-10K,5338,4866,472,109.70,66.04,61.48,107.42
1,AR,arkansas,05125,Saline; AR,GOP,Trump; GOP,>40K,35852,32962,2890,108.77,68.19,70.04,97.35
1,AR,arkansas,05047,Franklin; AR,GOP,Trump; GOP,5K-10K,5034,4631,403,108.70,74.42,70.82,105.09
1,AR,arkansas,05091,Miller; AR,GOP,Trump; GOP,10K-20K,11293,10622,671,106.32,70.19,69.29,101.29
1,AR,arkansas,05079,Lincoln; AR,GOP,Trump; GOP,2K-5K,2455,2199,256,111.64,64.17,59.03,108.69
1,AR,arkansas,05005,Baxter; AR,GOP,Trump; GOP,10K-20K,14655,13688,967,107.06,74.28,70.78,104.94
1,AR,arkansas,05109,Pike; AR,GOP,Trump; GOP,2K-5K,3150,2847,303,110.64,79.15,75.18,105.28
1,AR,arkansas,05067,Jackson; AR,GOP,Trump; GOP,5K-10K,3262,3065,197,106.43,63.33,57.42,110.29
1,AR,arkansas,05137,Stone; AR,GOP,Trump; GOP,5K-10K,4081,3773,308,108.16,73.29,70.51,103.95
1,AR,arkansas,05057,Hempstead; AR,GOP,Trump; GOP,5K-10K,4391,4284,107,102.50,62.45,61.92,100.86
1,AR,arkansas,05045,Faulkner; AR,GOP,Trump; GOP,>40K,29170,26653,2517,109.44,61.81,64.50,95.82
1,AR,arkansas,05085,Lonoke; AR,GOP,Trump; GOP,20K-40K,19902,17863,2039,111.41,73.69,74.17,99.35
1,AR,arkansas,05049,Fulton; AR,GOP,Trump; GOP,2K-5K,3470,2949,521,117.67,72.73,65.21,111.53
1,AR,arkansas,05001,Arkansas; AR,GOP,Trump; GOP,5K-10K,3825,3892,67,98.28,61.58,59.99,102.66
